symbol,sector
INTELLECT,Technology
M&M,Consumer Cyclical
CDSL,Financial Services
TATASTEEL,Basic Materials
JPPOWER,Utilities
KARURVYSYA,Financial Services
SHREECEM,Basic Materials
DLF,Real Estate
FORCEMOT,Consumer Cyclical
JWL,Industrials
TATACHEM,Basic Materials
COLPAL,Consumer Defensive
GODREJIND,Industrials
STARHEALTH,Financial Services
ZEEL,Communication Services
ABB,Industrials
NBCC,Industrials
APOLLOTYRE,Consumer Cyclical
APARINDS,Industrials
CASTROLIND,Energy
ESCORTS,Industrials
HEROMOTOCO,Consumer Cyclical
ICICIGI,Financial Services
INDIAMART,Communication Services
TITAGARH,Industrials
JIOFIN,Financial Services
JYOTICNC,Industrials
ITI,Technology
BSOFT,Technology
GODREJCP,Consumer Defensive
DMART,Consumer Defensive
KAJARIACER,Industrials
NTPC,Utilities
CCL,Consumer Defensive
ELGIEQUIP,Industrials
NEULANDLAB,Healthcare
OIL,Energy
FLUOROCHEM,Basic Materials
ABBOTINDIA,Healthcare
KAYNES,Technology
CUMMINSIND,Industrials
GALLANTT,Basic Materials
TIMKEN,Industrials
GRAPHITE,Industrials
TVSMOTOR,Consumer Cyclical
BSE,Financial Services
HAVELLS,Industrials
INDIANB,Financial Services
JBCHEPHARM,Healthcare
RAINBOW,Healthcare
AFFLE,Communication Services
ACE,Industrials
CANFINHOME,Financial Services
DEEPAKFERT,Basic Materials
MAPMYINDIA,Technology
NEWGEN,Technology
RAILTEL,Communication Services
CGPOWER,Industrials
SUNPHARMA,Healthcare
PVRINOX,Communication Services
SAIL,Basic Materials
VIJAYA,Healthcare
VOLTAS,Consumer Cyclical
THERMAX,Industrials
SAREGAMA,Communication Services
JKCEMENT,Basic Materials
LICI,Financial Services
CAMS,Technology
WELCORP,Basic Materials
AUROPHARMA,Healthcare
DELHIVERY,Industrials
GRASIM,Basic Materials
CHOICEIN,Financial Services
MANAPPURAM,Financial Services
BBTC,Consumer Defensive
BRIGADE,Real Estate
GRAVITA,Industrials
SBILIFE,Financial Services
MFSL,Financial Services
IFCI,Financial Services
MARUTI,Consumer Cyclical
USHAMART,Basic Materials
RADICO,Consumer Defensive
TRITURBINE,Industrials
RRKABEL,Industrials
SONACOMS,Consumer Cyclical
MPHASIS,Technology
VTL,Consumer Cyclical
AXISBANK,Financial Services
EMAMILTD,Consumer Defensive
IRB,Industrials
BALRAMCHIN,Consumer Defensive
BANKINDIA,Financial Services
EIHOTEL,Consumer Cyclical
AMBUJACEM,Basic Materials
NESTLEIND,Consumer Defensive
UNOMINDA,Consumer Cyclical
RAMCOCEM,Basic Materials
HINDZINC,Basic Materials
